"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","Country"
1993,89,"0.1423","0.13285","0.5",29604,"3933","27637","144025","4.87","AUS"
1993,90,"0.15548","0.14426","0.5",25671,"3703","23819","116388","4.53","AUS"
1993,91,"0.16653","0.15373","0.5",21968,"3377","20279","92569","4.21","AUS"
1993,92,"0.1956","0.17817","0.5",18591,"3312","16934","72290","3.89","AUS"
1993,93,"0.22564","0.20276","0.5",15278,"3098","13729","55356","3.62","AUS"
1993,94,"0.22665","0.20358","0.5",12180,"2480","10941","41626","3.42","AUS"
1993,95,"0.25773","0.22831","0.5",9701,"2215","8593","30686","3.16","AUS"
1993,96,"0.28232","0.2474","0.5",7486,"1852","6560","22092","2.95","AUS"
1993,97,"0.30828","0.26711","0.5",5634,"1505","4881","15532","2.76","AUS"
1993,98,"0.33551","0.28731","0.5",4129,"1186","3536","10651","2.58","AUS"
1993,99,"0.36388","0.30787","0.5",2943,"906","2490","7115","2.42","AUS"
1993,100,"0.39323","0.32862","0.5",2037,"669","1702","4625","2.27","AUS"
1993,101,"0.42337","0.34941","0.5",1367,"478","1129","2923","2.14","AUS"
1993,102,"0.45409","0.37007","0.5",890,"329","725","1795","2.02","AUS"
1993,103,"0.48517","0.39045","0.5",560,"219","451","1070","1.91","AUS"
1993,104,"0.51636","0.4104","0.5",342,"140","272","619","1.81","AUS"
1993,105,"0.54743","0.42979","0.5",201,"87","158","347","1.72","AUS"
1993,106,"0.57813","0.44849","0.5",115,"52","89","189","1.65","AUS"
1993,107,"0.60823","0.4664","0.5",63,"30","49","100","1.58","AUS"
1993,108,"0.63754","0.48344","0.5",34,"16","26","51","1.52","AUS"
1993,109,"0.66586","0.49955","0.5",17,"9","13","26","1.47","AUS"
1993,110,"0.69303","1","1.44",9,"9","13","13","1.44","AUS"
1994,75,"0.02901","0.0286","0.5",75926,"2171","74841","903301","11.9","AUS"
1994,76,"0.03305","0.03251","0.5",73755,"2398","72556","828461","11.23","AUS"
1994,77,"0.03608","0.03544","0.5",71357,"2529","70092","755905","10.59","AUS"
1994,78,"0.03986","0.03909","0.5",68828,"2690","67483","685812","9.96","AUS"
1994,79,"0.04559","0.04457","0.5",66138,"2948","64664","618330","9.35","AUS"
1994,80,"0.05299","0.05162","0.5",63190,"3262","61559","553666","8.76","AUS"
1994,81,"0.06012","0.05836","0.5",59928,"3498","58179","492107","8.21","AUS"
1994,82,"0.06577","0.06368","0.5",56430,"3593","54633","433929","7.69","AUS"
1994,83,"0.0747","0.07201","0.5",52837,"3805","50934","379295","7.18","AUS"
1994,84,"0.08431","0.0809","0.5",49032,"3966","47048","328361","6.7","AUS"
1994,85,"0.09138","0.08739","0.5",45065,"3938","43096","281312","6.24","AUS"
1994,86,"0.10656","0.10117","0.5",41127,"4161","39047","238216","5.79","AUS"
1994,87,"0.11571","0.10938","0.5",36966,"4044","34945","199170","5.39","AUS"
1994,88,"0.131","0.12295","0.5",32923,"4048","30899","164225","4.99","AUS"
1994,89,"0.15583","0.14456","0.5",28875,"4174","26788","133326","4.62","AUS"
1994,90,"0.16795","0.15494","0.5",24701,"3827","22787","106539","4.31","AUS"
1994,91,"0.1783","0.1637","0.5",20874,"3417","19165","83751","4.01","AUS"
1994,92,"0.21396","0.19328","0.5",17457,"3374","15770","64586","3.7","AUS"
1994,93,"0.22489","0.20216","0.5",14082,"2847","12659","48817","3.47","AUS"
1994,94,"0.24919","0.22158","0.5",11236,"2490","9991","36158","3.22","AUS"
1994,95,"0.27566","0.24227","0.5",8746,"2119","7687","26167","2.99","AUS"
1994,96,"0.30217","0.26251","0.5",6627,"1740","5757","18480","2.79","AUS"
1994,97,"0.33007","0.28332","0.5",4887,"1385","4195","12723","2.6","AUS"
1994,98,"0.35922","0.30453","0.5",3503,"1067","2969","8528","2.43","AUS"
1994,99,"0.38945","0.32597","0.5",2436,"794","2039","5559","2.28","AUS"
1994,100,"0.42055","0.34748","0.5",1642,"571","1357","3520","2.14","AUS"
1994,101,"0.4523","0.36888","0.5",1071,"395","874","2163","2.02","AUS"
1994,102,"0.48443","0.38997","0.5",676,"264","544","1289","1.91","AUS"
1994,103,"0.5167","0.41062","0.5",412,"169","328","745","1.81","AUS"
1994,104,"0.54883","0.43065","0.5",243,"105","191","417","1.72","AUS"
1994,105,"0.58055","0.44995","0.5",138,"62","107","226","1.64","AUS"
1994,106,"0.61163","0.46839","0.5",76,"36","58","119","1.56","AUS"
1994,107,"0.64182","0.48589","0.5",40,"20","31","61","1.5","AUS"
1994,108,"0.67093","0.50239","0.5",21,"10","16","30","1.45","AUS"
1994,109,"0.69878","0.51785","0.5",10,"5","8","15","1.41","AUS"
1994,110,"0.72524","1","1.38",5,"5","7","7","1.38","AUS"
1995,75,"0.02859","0.02819","0.5",76683,"2161","75602","928771","12.11","AUS"
1995,76,"0.0301","0.02966","0.5",74521,"2210","73416","853169","11.45","AUS"
1995,77,"0.03527","0.03466","0.5",72311,"2506","71058","779752","10.78","AUS"
1995,78,"0.03903","0.03828","0.5",69805,"2672","68469","708694","10.15","AUS"
1995,79,"0.0455","0.04448","0.5",67133,"2986","65640","640225","9.54","AUS"
1995,80,"0.05128","0.04999","0.5",64147,"3207","62543","574586","8.96","AUS"
1995,81,"0.05587","0.05435","0.5",60940,"3312","59283","512043","8.4","AUS"
1995,82,"0.06116","0.05935","0.5",57627,"3420","55917","452759","7.86","AUS"
1995,83,"0.07141","0.06895","0.5",54207,"3737","52339","396842","7.32","AUS"
1995,84,"0.08072","0.07759","0.5",50470,"3916","48512","344503","6.83","AUS"
1995,85,"0.08861","0.08485","0.5",46554,"3950","44579","295991","6.36","AUS"
1995,86,"0.10396","0.09882","0.5",42604,"4210","40499","251412","5.9","AUS"
1995,87,"0.1183","0.1117","0.5",38394,"4288","36249","210914","5.49","AUS"
1995,88,"0.12637","0.11886","0.5",34105,"4054","32078","174664","5.12","AUS"
1995,89,"0.14467","0.13491","0.5",30051,"4054","28024","142586","4.74","AUS"
1995,90,"0.15498","0.14383","0.5",25997,"3739","24127","114562","4.41","AUS"
1995,91,"0.17887","0.16418","0.5",22258,"3654","20431","90434","4.06","AUS"
1995,92,"0.20027","0.18204","0.5",18603,"3387","16910","70004","3.76","AUS"
1995,93,"0.22036","0.19849","0.5",15217,"3020","13707","53093","3.49","AUS"
1995,94,"0.25678","0.22756","0.5",12196,"2775","10809","39387","3.23","AUS"
1995,95,"0.27002","0.2379","0.5",9421,"2241","8300","28578","3.03","AUS"
1995,96,"0.29658","0.25828","0.5",7180,"1854","6253","20278","2.82","AUS"
1995,97,"0.32459","0.27927","0.5",5325,"1487","4582","14025","2.63","AUS"
1995,98,"0.35392","0.3007","0.5",3838,"1154","3261","9443","2.46","AUS"
1995,99,"0.38439","0.32242","0.5",2684,"865","2251","6182","2.3","AUS"
1995,100,"0.41579","0.34423","0.5",1819,"626","1506","3931","2.16","AUS"
1995,101,"0.44789","0.36594","0.5",1193,"436","974","2425","2.03","AUS"
1995,102,"0.48043","0.38738","0.5",756,"293","610","1451","1.92","AUS"
1995,103,"0.51314","0.40837","0.5",463,"189","369","841","1.82","AUS"
1995,104,"0.54574","0.42875","0.5",274,"118","215","472","1.72","AUS"
1995,105,"0.57795","0.44838","0.5",157,"70","121","257","1.64","AUS"
1995,106,"0.60951","0.46714","0.5",86,"40","66","135","1.57","AUS"
1995,107,"0.64018","0.48495","0.5",46,"22","35","69","1.5","AUS"
1995,108,"0.66974","0.50173","0.5",24,"12","18","34","1.45","AUS"
1995,109,"0.69803","0.51743","0.5",12,"6","9","17","1.41","AUS"
1995,110,"0.72488","1","1.38",6,"6","8","8","1.38","AUS"
